,Goal 1,Goal 2,Goal 3,Goal 4,Avoid [Ambulance Mobilized At Station]
timestamp,cps,cps,cps,cps,cps
16:13:30.8076,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:31.8104,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:32.8108,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:33.8302,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:34.8202,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:35.8204,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:36.8203,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:37.8204,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:38.8214,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:39.8219,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:40.8247,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:41.8248,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:42.8249,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:43.8249,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:44.8265,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:45.8265,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:46.8296,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:47.8296,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:48.8323,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:49.8354,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:50.8374,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:51.8374,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:52.8375,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:53.8375,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:54.8376,1.0000,1.0000,1.0000,1.0000,1.0000
16:13:55.8376,0.9878,1.0000,1.0000,1.0000,1.0000
16:13:56.8377,0.9762,1.0000,1.0000,1.0000,1.0000
16:13:57.8377,0.9651,1.0000,1.0000,1.0000,1.0000
16:13:58.8377,0.9655,1.0000,1.0000,1.0000,1.0000
16:13:59.8397,0.9659,1.0000,1.0000,1.0000,1.0000
16:14:00.8428,0.9663,1.0000,1.0000,1.0000,1.0000
16:14:01.8428,0.9667,1.0000,1.0000,1.0000,1.0000
16:14:02.8429,0.9667,1.0000,1.0000,1.0000,1.0000
16:14:03.8470,0.9667,1.0000,1.0000,1.0000,1.0000
16:14:04.8490,0.9700,1.0000,1.0000,1.0000,1.0000
16:14:05.8522,0.9703,1.0000,1.0000,1.0000,1.0000
16:14:06.8527,0.9706,1.0000,1.0000,1.0000,1.0000
16:14:07.8529,0.9709,1.0000,1.0000,1.0000,1.0000
16:14:08.8534,0.9712,1.0000,1.0000,1.0000,1.0000
16:14:09.8546,0.9714,1.0000,1.0000,1.0000,1.0000
16:14:10.8572,0.9717,1.0000,1.0000,1.0000,1.0000
16:14:11.8594,0.9720,1.0000,1.0000,1.0000,1.0000
16:14:12.8602,0.9722,1.0000,1.0000,1.0000,1.0000
16:14:13.8603,0.9725,1.0000,1.0000,1.0000,1.0000
16:14:14.8603,0.9727,1.0000,1.0000,1.0000,1.0000
16:14:15.8604,0.9730,1.0000,1.0000,1.0000,1.0000
16:14:16.8604,0.9732,1.0000,1.0000,1.0000,1.0000
16:14:17.8605,0.9735,1.0000,1.0000,1.0000,1.0000
16:14:18.8614,0.9737,1.0000,1.0000,1.0000,1.0000
16:14:19.8641,0.9739,1.0000,1.0000,1.0000,1.0000
16:14:20.8642,0.9741,1.0000,1.0000,1.0000,1.0000
16:14:21.8642,0.9744,1.0000,1.0000,1.0000,1.0000
16:14:22.8677,0.9746,1.0000,1.0000,1.0000,1.0000
16:14:23.8696,0.9748,1.0000,1.0000,1.0000,1.0000
16:14:24.8722,0.9750,1.0000,1.0000,1.0000,1.0000
16:14:25.8722,0.9752,1.0000,1.0000,1.0000,1.0000
16:14:26.8723,0.9754,1.0000,1.0000,1.0000,1.0000
16:14:27.8723,0.9756,1.0000,1.0000,1.0000,1.0000
16:14:28.8723,0.9758,1.0000,1.0000,1.0000,1.0000
16:14:29.8724,0.9760,1.0000,1.0000,1.0000,1.0000
16:14:30.8724,0.9762,1.0000,1.0000,1.0000,1.0000
16:14:31.8725,0.9764,1.0000,1.0000,1.0000,1.0000
16:14:32.8725,0.9766,1.0000,1.0000,1.0000,1.0000
16:14:33.8740,0.9767,1.0000,1.0000,1.0000,1.0000
16:14:34.8768,0.9769,1.0000,1.0000,1.0000,1.0000
16:14:35.8768,0.9771,1.0000,1.0000,1.0000,1.0000
16:14:36.8793,0.9773,1.0000,1.0000,1.0000,1.0000
16:14:37.8796,0.9774,1.0000,1.0000,1.0000,1.0000
16:14:38.8823,0.9776,1.0000,1.0000,1.0000,1.0000
16:14:39.8854,0.9778,1.0000,1.0000,1.0000,1.0000
16:14:40.8855,0.9779,1.0000,1.0000,1.0000,1.0000
16:14:41.8893,0.9781,1.0000,1.0000,1.0000,1.0000
16:14:42.8893,0.9783,1.0000,1.0000,1.0000,1.0000
16:14:43.8894,0.9784,1.0000,1.0000,1.0000,1.0000
16:14:44.8894,0.9786,1.0000,1.0000,1.0000,1.0000
16:14:45.8899,0.9787,1.0000,1.0000,1.0000,1.0000
16:14:46.8899,0.9789,1.0000,1.0000,1.0000,1.0000
16:14:47.8920,0.9790,1.0000,1.0000,1.0000,1.0000
16:14:48.8939,0.9792,1.0000,1.0000,1.0000,1.0000
16:14:49.8944,0.9793,1.0000,1.0000,1.0000,1.0000
16:14:50.8955,0.9795,1.0000,1.0000,1.0000,1.0000
16:14:51.8956,0.9796,1.0000,1.0000,1.0000,1.0000
16:14:52.8957,0.9797,1.0000,1.0000,1.0000,1.0000
16:14:53.8967,0.9799,1.0000,1.0000,1.0000,1.0000
16:14:54.8968,0.9800,1.0000,1.0000,1.0000,1.0000
16:14:55.8968,0.9801,1.0000,1.0000,1.0000,1.0000
16:14:56.9000,0.9803,1.0000,1.0000,1.0000,1.0000
16:14:57.9031,0.9804,1.0000,1.0000,1.0000,1.0000
16:14:58.9062,0.9805,1.0000,1.0000,1.0000,1.0000
16:14:59.9093,0.9806,1.0000,1.0000,1.0000,1.0000
16:15:00.9111,0.9808,1.0000,1.0000,1.0000,1.0000
16:15:01.9111,0.9809,1.0000,1.0000,1.0000,1.0000
16:15:02.9112,0.9810,1.0000,1.0000,1.0000,1.0000
16:15:03.9112,0.9811,1.0000,1.0000,1.0000,1.0000
16:15:04.9113,0.9813,1.0000,1.0000,1.0000,1.0000
16:15:05.9117,0.9814,1.0000,1.0000,1.0000,1.0000
16:15:06.9118,0.9815,1.0000,1.0000,1.0000,1.0000
16:15:07.9119,0.9816,1.0000,1.0000,1.0000,1.0000
16:15:08.9120,0.9817,1.0000,1.0000,1.0000,1.0000
16:15:09.9120,0.9818,1.0000,1.0000,1.0000,0.9938
16:15:10.9121,0.9819,1.0000,1.0000,1.0000,0.9877
16:15:11.9121,0.9820,1.0000,1.0000,1.0000,0.9817
16:15:12.9122,0.9821,1.0000,1.0000,1.0000,0.9758
16:15:13.9127,0.9822,1.0000,1.0000,1.0000,0.9699
16:15:14.9127,0.9824,1.0000,1.0000,1.0000,0.9641
16:15:15.9128,0.9825,1.0000,1.0000,1.0000,0.9583
16:15:16.9128,0.9826,1.0000,1.0000,1.0000,0.9527
16:15:17.9131,0.9827,1.0000,1.0000,1.0000,0.9471
16:15:18.9155,0.9828,1.0000,1.0000,1.0000,0.9415
16:15:19.9155,0.9829,1.0000,1.0000,1.0000,0.9360
16:15:20.9155,0.9830,1.0000,1.0000,1.0000,0.9306
16:15:21.9175,0.9831,1.0000,1.0000,1.0000,0.9253
16:15:22.9177,0.9831,1.0000,1.0000,1.0000,0.9200
16:15:23.9175,0.9832,1.0000,1.0000,1.0000,0.9153
16:15:24.9191,0.9833,1.0000,1.0000,1.0000,0.9106
16:15:25.9212,0.9834,1.0000,1.0000,1.0000,0.9061
16:15:26.9237,0.9835,1.0000,1.0000,1.0000,0.9066
16:15:27.9245,0.9836,1.0000,1.0000,1.0000,0.9071
16:15:28.9245,0.9837,1.0000,1.0000,1.0000,0.9076
16:15:29.9247,0.9838,1.0000,1.0000,1.0000,0.9081
16:15:30.9247,0.9839,1.0000,1.0000,1.0000,0.9086
16:15:31.9248,0.9840,1.0000,1.0000,1.0000,0.9091
16:15:32.9249,0.9840,1.0000,1.0000,1.0000,0.9096
16:15:33.9249,0.9841,1.0000,1.0000,1.0000,0.9101
16:15:34.9258,0.9842,1.0000,1.0000,1.0000,0.9105
16:15:35.9252,0.9843,1.0000,1.0000,1.0000,0.9110
16:15:36.9253,0.9844,1.0000,1.0000,1.0000,0.9115
16:15:37.9281,0.9845,1.0000,1.0000,1.0000,0.9119
16:15:38.9302,0.9845,1.0000,1.0000,1.0000,0.9124
16:15:39.9302,0.9846,1.0000,1.0000,1.0000,0.9128
